조합,조건수,발생횟수,승리횟수,승률(%),평균수익률(%),구성지표
SMA10>SMA50 + MACD>Signal + Stoch_Cross_Up,3,273,229,83.88,3.39,SMA10>SMA50 + MACD>Signal + Stoch_Cross_Up
EMA5>EMA20 + MACD>Signal,2,1202,1008,83.86,3.49,EMA5>EMA20 + MACD>Signal
EMA5>EMA20 + MACD_Hist>0,2,1202,1008,83.86,3.49,EMA5>EMA20 + MACD_Hist>0
EMA5>EMA20 + MACD>Signal + MACD_Hist>0,3,1202,1008,83.86,3.49,EMA5>EMA20 + MACD>Signal + MACD_Hist>0
EMA5>EMA20 + Price>EMA20 + MACD>Signal,3,1183,992,83.85,3.52,EMA5>EMA20 + Price>EMA20 + MACD>Signal
EMA5>EMA20 + Price>EMA20 + MACD_Hist>0,3,1183,992,83.85,3.52,EMA5>EMA20 + Price>EMA20 + MACD_Hist>0
EMA5>EMA20 + Price>SMA20 + MACD>Signal,3,1194,1001,83.84,3.51,EMA5>EMA20 + Price>SMA20 + MACD>Signal
EMA5>EMA20 + Price>SMA20 + MACD_Hist>0,3,1194,1001,83.84,3.51,EMA5>EMA20 + Price>SMA20 + MACD_Hist>0
SMA5>SMA20 + Price>EMA20 + MACD_Hist>0,3,1211,1015,83.82,3.47,SMA5>SMA20 + Price>EMA20 + MACD_Hist>0
SMA5>SMA20 + Price>EMA20 + MACD>Signal,3,1211,1015,83.82,3.47,SMA5>SMA20 + Price>EMA20 + MACD>Signal
Price>EMA20 + ADX>20_PlusDI>MinusDI + VolSpike>1.5,3,179,150,83.8,4.16,Price>EMA20 + ADX>20_PlusDI>MinusDI + VolSpike>1.5
