entry_time,direction,entry,exit,exit_type,pnl_pct,win,prob
2024-04-15,SHORT,63388.28,63071.34,tp,0.004025,1,0.907
2024-04-16,SHORT,63761.49,63442.69,tp,0.004025,1,0.8964
2024-04-17,SHORT,61246.73,60940.5,tp,0.004025,1,0.9227
2024-04-18,SHORT,63438.34,63121.15,tp,0.004025,1,0.9487
2024-04-19,SHORT,63786.1,63467.17,tp,0.004025,1,0.9045
2024-04-20,SHORT,64908.12,64583.58,tp,0.004025,1,0.9357
2024-04-21,SHORT,64908.68,64584.14,tp,0.004025,1,0.8507
2024-04-22,SHORT,66785.91,66451.98,tp,0.004025,1,0.9326
2024-04-23,SHORT,66380.79,66048.89,tp,0.004025,1,0.8593
2024-04-24,SHORT,64257.45,63936.16,tp,0.004025,1,0.9184
2024-04-25,SHORT,64466.09,64143.76,tp,0.004025,1,0.8886
2024-04-26,SHORT,63738.12,63419.43,tp,0.004025,1,0.9294
2024-04-27,LONG,63493.71,63811.18,tp,0.004,1,0.8683
2024-04-28,LONG,63150.18,63465.93,tp,0.004,1,0.879
2024-04-29,SHORT,63834.07,63514.9,tp,0.004025,1,0.8964
2024-04-30,SHORT,60641.66,60338.46,tp,0.004025,1,0.9332
2024-05-01,SHORT,58335.79,58044.11,tp,0.004025,1,0.9457
2024-05-02,SHORT,59031.08,59208.17,sl,-0.003991,0,0.9157
2024-05-03,SHORT,62850.57,63039.12,sl,-0.003991,0,0.9447
2024-05-04,SHORT,63860.09,63540.79,tp,0.004025,1,0.9482
2024-05-05,SHORT,63979.99,63660.09,tp,0.004025,1,0.9348
2024-05-06,SHORT,63133.61,62817.94,tp,0.004025,1,0.8833
2024-05-07,SHORT,62280.92,61969.52,tp,0.004025,1,0.9235
2024-05-08,SHORT,61162.43,60856.62,tp,0.004025,1,0.941
2024-05-09,SHORT,63042.47,62727.26,tp,0.004025,1,0.9289
2024-05-10,SHORT,60769.59,60951.9,sl,-0.003991,0,0.9023
2024-05-11,SHORT,60795.58,60977.96,sl,-0.003991,0,0.8381
2024-05-12,SHORT,61453.25,61145.98,tp,0.004025,1,0.9091
2024-05-13,SHORT,62908.61,62594.07,tp,0.004025,1,0.928
2024-05-14,SHORT,61546.7,61731.34,sl,-0.003991,0,0.9027
2024-05-15,SHORT,66173.4,65842.53,tp,0.004025,1,0.9148
2024-05-16,SHORT,65202.59,65398.2,sl,-0.003991,0,0.8922
2024-05-17,SHORT,66990.49,66655.54,tp,0.004025,1,0.8774
2024-05-18,SHORT,66881.74,66547.33,tp,0.004025,1,0.8189
2024-05-19,LONG,66307.15,66638.68,tp,0.004,1,0.8689
2024-05-20,LONG,71482.34,71839.76,tp,0.004,1,0.8811
2024-05-21,SHORT,70113.27,69762.7,tp,0.004025,1,0.9042
2024-05-22,SHORT,69132.04,68786.38,tp,0.004025,1,0.9196
2024-05-23,SHORT,67935.67,67595.99,tp,0.004025,1,0.9317
2024-05-24,SHORT,68515.72,68721.26,sl,-0.003991,0,0.8564
2024-05-25,SHORT,69255.92,68909.65,tp,0.004025,1,0.9147
2024-05-26,LONG,68541.92,68884.63,tp,0.004,1,0.8861
2024-05-27,SHORT,69401.71,69054.7,tp,0.004025,1,0.8401
